id,titulo,ano,genero,nota,votos,orcamento,receita,diretor,poster,sinopse,duracao,popularidade
207,Sociedade dos Poetas Mortos,1989-06-02,Drama,8.297,12847,16400000,235860116,Peter Weir,https://image.tmdb.org/t/p/w500/gMmbJEqEzupp4BYTcRkNsPDPvQE.jpg,"Em 1959 na Welton Academy, uma tradicional escola preparatória, um ex-aluno se torna o novo professor de literatura, mas logo seus métodos de incentivar os alunos a pensarem por si mesmos cria um choque com a ortodoxa direção do colégio, principalmente quando ele fala aos seus alunos sobre a ""Sociedade dos Poetas Mortos"".",128,24.9041
1525963,채무자의 아내,2024-12-26,Desconhecido,0.0,0,0,0,Desconhecido,https://image.tmdb.org/t/p/w500/ouXTrnJBimHIhWIUlHARDJH47no.jpg,,0,24.8773
558449,Gladiador 2,2024-11-13,Ação,6.6,4671,310000000,462180717,Ridley Scott,https://image.tmdb.org/t/p/w500/342bly9MqveL65TnEFzx8TTUxcL.jpg,"Anos depois de testemunhar a trágica morte do reverenciado herói Maximus nas mãos de seu tio malvado, Lucius se vê forçado a lutar no Coliseu depois que sua terra natal é conquistada por dois imperadores tirânicos, que agora governam Roma. Com o coração ardendo de raiva e o destino do Império pendurado por um fio, Lucius deve enfrentar perigos e inimigos, redescobrindo em seu passado a força e a honra necessárias para trazer a glória de Roma de volta ao seu povo.",150,24.8713
259693,Invocação do Mal 2,2016-06-08,Terror,7.294,9343,40000000,322819915,James Wan,https://image.tmdb.org/t/p/w500/dOPVzDQdRQtSan36LpLwWcfzCgu.jpg,"Lorraine e Ed Warren ajudam uma mãe solteira a criar seus quatro filhos numa casa assombrada por espíritos malignos. Conhecido como a Amityville da Inglaterra, o Poltergeist de Enfield foi o caso mais documentado na história da paranormalidade. Descubra a verdade por trás do evento que chocou o mundo.",134,24.8538
228150,Corações de Ferro,2014-10-15,Guerra,7.5,13135,68000000,211817906,David Ayer,https://image.tmdb.org/t/p/w500/tVZXsjBC9HIoKv6WnAv0nWObbrT.jpg,"Durante o final da Segunda Guerra Mundial, um grupo de cinco soldados americanos é encarregado de atacar os nazistas dentro da própria Alemanha. Apesar de estarem em quantidade inferior e terem poucas armas, eles são liderados pelo enfurecido Wardaddy, sargento que pretende levá-los à vitória, enquanto ensina o novato Norman a lutar.",135,24.8297
1632181,Socias por accidente,2026-03-12,Comédia,8.89,355,0,0,Ihtzi Hurtado,https://image.tmdb.org/t/p/w500/j0CIVzeR7hRAPBPGR54qDZoOQpp.jpg,,110,24.8184
1124,O Grande Truque,2006-10-19,Drama,8.211,17950,40000000,109676311,Christopher Nolan,https://image.tmdb.org/t/p/w500/4AUW2bGbQjWACUREckGJWXmyF0d.jpg,"No século 19, em Londres, dois amigos ilusionistas e mágicos, Alfred Borden e Rupert Angier, acabam construindo uma rivalidade, uma batalha por supremacia, que se estende ao longo dos anos e que se transforma em obsessão, cujos resultados serão inevitavelmente trágicos.",130,24.6635
1613798,Vingança Brutal,2026-02-26,Ação,7.493,294,0,0,Rodrigo Valdes,https://image.tmdb.org/t/p/w500/88P3qzWBRYvI0K5fNtqwwXQsvwi.jpg,"Quando sua esposa é brutalmente assassinada, Carlos Estrada, herói condecorado das forças especiais, passa a viver com apenas um propósito: vingança. Depois que uma reviravolta do destino o torna um milionário, Carlos transforma sua fortuna em um arsenal e, com seus soldados de maior confiança, inicia uma caçada incansável pelos responsáveis.",103,24.6546
127585,X-Men: Dias de um Futuro Esquecido,2014-05-15,Ação,7.535,16525,250000000,748045700,Bryan Singer,https://image.tmdb.org/t/p/w500/cAGrjXVQoNyqHgxPoXr68JGqmp0.jpg,"O Dr. Bolivar Trask acredita que os mutantes são uma ameaça para a humanidade. Ele desenvolve gigantescos robôs chamados Sentinelas, que perseguem impiedosamente os mutantes. Os poucos sobreviventes precisam viver escondidos. Wolverine viaja no tempo para procurar os jovens Xavier e Magneto e impedir que eles sejam caçados e aniquilados no futuro.",149,24.6171
945961,Alien: Romulus,2024-08-13,Terror,7.16,4794,80000000,350865342,Fede Álvarez,https://image.tmdb.org/t/p/w500/jB0W9tn4w07MFn7sTfqRTBLVytF.jpg,"Enquanto vasculham as profundezas de uma estação espacial abandonada, um grupo de jovens colonizadores espaciais se depara com a forma de vida mais aterrorizante do universo.",119,24.581
769,Os Bons Companheiros,1990-09-12,Drama,8.45,14630,25000000,47072327,Martin Scorsese,https://image.tmdb.org/t/p/w500/sTReXuaND1AjkXUfjl1gqRcuGfI.jpg,"A história real de Henry Hill, um garoto meio irlandês e meio siciliano do Brooklyn que é adotado por gangsters do bairro ainda jovem e sobe na hierarquia de uma família da máfia sob a orientação de Jimmy Conway.",146,24.5051
20352,Meu Malvado Favorito,2010-07-08,Animação,7.261,16283,69000000,543284256,Pierre Coffin,https://image.tmdb.org/t/p/w500/rYZzutMXxvirK9gK01iLo3Blaj3.jpg,"Um homem que adora todas as coisas diabólicas, o supervilão Gru traça um plano para roubar a lua. Rodeado de um exército de pequenos ajudantes e seu arsenal de armas e máquinas de guerra, Gru se prepara para destruir quem atravessar seu caminho. Mas ele não esperava pelo seu maior desafio: três adoráveis órfãs que querem ter Gru como pai.",95,24.453
629,Os Suspeitos,1995-07-19,Drama,8.165,11627,6000000,23300000,Bryan Singer,https://image.tmdb.org/t/p/w500/8RrGQ3kSiu2JJatkQ3o0DdXUGUU.jpg,"Um detetive interroga um dos únicos sobreviventes de uma explosão no cais que provocou dezenas de mortes. O suspeito conta uma história sobre os eventos que levaram ele e mais quatro criminosos ao local do crime, deixando dúvidas sobre a verdade.",106,24.4252
346698,Barbie,2023-07-19,Comédia,6.91,11424,145000000,1447138421,Greta Gerwig,https://image.tmdb.org/t/p/w500/yRRuLt7sMBEQkHsd1S3KaaofZn7.jpg,"No mundo mágico das Barbies, ""Barbieland"", uma das bonecas começa a perceber que não se encaixa como as outras. Depois de ser expulsa, ela parte para uma aventura no ""mundo real"", onde descobre que a beleza está no interior de cada um.",114,24.4007
1235877,ஜன நாயகன்,2026-07-22,Ação,5.5,14,0,0,H. Vinoth,https://image.tmdb.org/t/p/w500/jt8pfSIdi47YpFMMWVRr8w5u2S0.jpg,,183,24.3783
10867,Malèna,2000-10-27,Drama,7.555,2780,0,14493284,Giuseppe Tornatore,https://image.tmdb.org/t/p/w500/aGK0x9RblIUqkLp6xKYMSttlqMn.jpg,"Em 1941, numa pequena vila localizada na Sicília, um grupo de garotos de 13 anos de idade nutre uma profunda paixão por Malena (Monica Bellucci), a viúva de um soldado local, despertando uma história de amor, perda e coragem.",109,24.3269
1292415,Beast,2026-04-10,Ação,6.992,122,0,0,Tyler Atkins,https://image.tmdb.org/t/p/w500/87m6tpjod7SI6rnCUGYU5vpTUiK.jpg,Um pescador comercial que luta para sustentar a família e vingar a morte do irmão enfrenta um adversário perigoso em uma luta de artes marciais mistas.,115,24.3231
1432631,இதயம் முரளி,2026-07-10,Romance,7.333,6,0,0,Aakash Baskaran,https://image.tmdb.org/t/p/w500/8gfs5OsGINENFAl0h1XZPNup9lI.jpg,,164,24.272
